股票代码,营业收入,营业利润,利润总额,净利润,总资产,固定资产,净资产收益率,每股净资产,每股资本公积,每股收益,年度
603065.SH,1792366712.98,293541087.84,289348556.63,246334520.52,2799175818.99,905218847.69,16.3566,4.3229,1.5141,0.6533,2022
920770.BJ,432833982.12,66067150.15,66299887.71,61792111.63,628954308.0,,15.4701,3.844,1.2601,0.57,2022
301322.SZ,1470965655.05,359558599.19,358841621.49,311847746.09,878784620.63,131820191.69,57.7088,13.2772,2.6449,5.95,2022
001278.SZ,1861592341.61,127639577.88,128872118.92,112397678.99,2277484750.16,385881801.92,16.4577,7.9133,3.1321,1.1912,2022
301059.SZ,279492356.93,71507873.94,75824395.56,66029582.34,691822063.45,267933357.67,11.9336,4.6959,2.334,0.54,2022
688522.SH,210008608.23,117197030.96,117216308.65,105433925.41,677891864.64,47573185.35,21.5185,4.7127,1.5728,0.91,2022
603162.SH,2046032548.74,706584473.39,705085486.04,671417018.13,2596021726.33,955124626.76,39.8209,5.5084,0.3253,1.81,2022
301157.SZ,248018709.62,64081387.38,65007434.97,57004835.07,417784252.86,13503741.35,22.2728,6.3216,1.8996,1.27,2022
001337.SZ,472460494.05,234675489.21,233613375.51,198687610.82,1358134667.87,174750181.26,26.8164,2.3341,0.3183,0.55,2022
603061.SH,426018033.34,180280634.15,176627168.82,153931526.19,817116844.53,12014791.17,30.4915,12.9497,4.5415,3.42,2022
603291.SH,1156980071.72,179856885.5,178764713.36,129734793.58,3490503969.02,506644869.05,9.9081,3.6081,0.8706,0.34,2022
920422.BJ,647852012.98,90504494.95,88574318.75,73573773.52,480083218.48,172577910.84,29.1802,4.2461,0.7719,1.08,2022
301076.SZ,398088103.44,123242852.14,122945371.57,106946897.04,1252731396.32,168856598.01,10.2113,10.4504,5.6474,1.03,2022
920478.BJ,258700268.97,58194400.34,60901057.44,56442153.33,380716880.35,96094655.47,19.7827,10.288,1.1381,1.88,2022
001225.SZ,496625757.69,202906177.43,255881784.59,220878628.06,901816011.23,84369319.89,34.5947,14.9689,4.688,4.56,2022
001311.SZ,3355008707.31,550072259.15,549627162.68,445331628.38,3522253951.87,1044527213.49,27.2338,17.5684,2.0356,4.21,2022
